LabID,🏫 Institution,🌍 Country,Lab Name,PI(s),Additional Members,Lab website,📚 Projects (collecting data)
babylabUCLAjohnson,"""University of California, Los Angeles""",United States,UCLA Baby Lab,Scott P. Johnson,Shannon M. Brady,https://www.babylab.ucla.edu/,MB1
babylabULB,Université Libre de Bruxelles,Belgium,ULBabylab,Julie Bertels,"Léa Simon,Solenn Gouadon,Chiara Capparini",https://crcn.ulb.ac.be/lab/ulbabylab/,"MB3,MB4"
babylabUmassb,University of Massachusetts Boston,United States,UMass Boston Baby Lab,Zsuzsa Kaldy,"Mohinish Shukla,Que Anh (Quinn) Pham",https://umassbostonbabylab.weebly.com/,MB1
babylabUtrecht,Utrecht University,The Netherlands,Utrecht University,Caroline Junge,,,MB1
babylabUVA,University of Virginia,United States,UVABaby Lab,"Tobias Grossmann,Amrisha Vaish","Olivia Allison,Yuhang Shu",https://uvababylab.org/,MB4
babylabVUW,Victoria University of Wellington,New Zealand,Victoria University Infant and Child Cognition Lab,Alia Martin,"Petra Bolitho,Michaela Dresel",https://vuwbabylab.com/,"MB1,MB1L,MB4"
babylabYork,University of York,England,York BabyLab,Tamar Keren-Portnoy,,https://www.york.ac.uk/language/research/projects/babylab/,MB1
babylabZSTU,Zhejiang Sci-tech University,China,ZSTU Baby Lab,"Yan Linlin,Liu Shaoying",,,MB5
babyLeidenEdu,Leiden University,The Netherlands,Leiden Babylab Education and Child Studies,Szilvia Biro,,https://www.universiteitleiden.nl/en/babylab-leiden,MB2
babylingOslo,University of Oslo,Norway,"Baby Lab UiO, BabyLing, MultiLing",Julien Mayor,"Natalia Kartushina,Tone K. Hermansen",https://www.sv.uio.no/psi/english/research/projects/babyling/,"MB1,MB1L,MB1N,MB1T,MB3,MB-ManyWebcams"
BabyLyon,"Université Lyon 1,CNRS","France,France",BabyLyon at Institut des Sciences Cognitives Marc Jeannerod,Jean-Remy Hochmann,,https://babylyonisc.wordpress.com/welcome/,MB3
babyTohoku,Tohoku University,Japan,Tohoku Baby Scientist Program,Chia-huei Tseng,,,MB5
BabyTuebingen,University of Tübingen,Germany,Babylab at Uni Tübingen,Claudia Friedrich,,https://uni-tuebingen.de/en/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/psychologie/arbeitsbereiche/entwicklungspsychologie/arbeitsbereich/baby-kinderlab-uni-tuebingen/,MB3
babyuniHeidelberg,Heidelberg University,Germany,BabyUni Heidelberg,Sabina Pauen,"Stefanie Peykarjou,Milena Marx",,MB2
baldwinlabUOregon,University of Oregon,United States,Acquiring Minds Lab,Dare Baldwin,Jessica E. Kosie,https://baldwinlab.uoregon.edu/,MB1
BathBabylab,Bath University,England,Bath Babylab,Rachael Bedford,,https://www.bath.ac.uk/research-groups/bath-babylab/,MB2
bchdOSU,The Ohio State University,United States,BabyTalk Research,Derek M. Houston,Yuanyuan Wang,https://medicine.osu.edu/departments/otolaryngology/research/buckeye-center/babytalk,MB1
bcrlUNLV,"""University of Nevada, Las Vegas""",United States,Baby and Child Rebel Lab,Jennifer L. Rennels,,https://rebellab.sites.unlv.edu/,"MB1,MB1L"
beinghumanWroclaw,University of Wroclaw,Poland,IDN Being Human,"Michal Misiak,Piotr Sorokowski","Arkadiusz Urbanek,Grzegorz Jankiewicz,Karolina Kluza,Wiktoria Jędryczka",,"MB2,MB3,MB4,MB5"
BelgradeNeuroCogLab,University of Belgrade,Serbia,Laboratory for Neurocognition and Applied Cognition,Vanja Kovic,Anđela Šoškić,https://lnpk.f.bg.ac.rs/,"MB2,MB3,MB4"
BiccBabyLab,Università degli Studi di Milano-Bicocca,Italy,Bicocca Child & Babylab,"Michelle Giraud,Valentina Silvestri",,https://bicoccababylab.wixsite.com/mindevlab/en/what-we-do,MB4
bllumanitoba,University of Manitoba,Canada,Baby Language Lab,Melanie Soderstrom,"Kelsey Klassen,Isabelle Hadley",https://babylanguagelab.org/,"MB1,MB1B,MB1L,MB1N,MB3"
bounBCL,Bogazici University,Turkey,Baby and Child Development Lab,Gaye Soley,,https://bcl.boun.edu.tr/en,"MB1,MB1N"
busara,Busara Center for Behavioral Economics,Kenya,,Chaning Jang,,https://busara.global/,MB1-Africa
callab,University of Chicago,United States,Communication and Learning Lab,Daniel Yurovsky,,https://callab.uchicago.edu/,MB1
CamBabyLab,University of Cambridge,England,Cambridge Babylab,"Mark Johnson,Sarah Lloyd Fox","Addison Billing,Borja Blanco",https://www.psychol.cam.ac.uk/babylab,MB2
careylabHarvard,Harvard University,United States,CareyLab,Susan Carey,"Irene Canudas-Grabolosa,Michael Huemer",https://www.harvardlds.org/our-labs/carey-lab/,MB2
cbplabUMN,University of Minnesota,United States,Child Brain and Perception Lab,Charisse Pickron,Emmy Higgs Matzner,https://innovation.umn.edu/child-brain-perception-lab/,MB4
cclruottawa,University of Ottawa,Canada,Centre for Child Language Research,Tania Zamuner,Scarlet Li,https://taniazamuner.weebly.com/,MB3
cclUNIRI,University of Rijeka,Croatia,Comparative Cognition Lab,"Edward Legg,Ljerka Ostojifá",Petra Šarić,,MB2
cdc-ceu,Central European University (Budapest),Hungary,Cognitive Development Center,,Mikołaj Hernik,https://cdc.ceu.edu/,"MB1,MB1B,MB1G"
cdcceu,"Central European University (Budapest),Central European University (Vienna)","Hungary,Austria",Cognitive Development Center (CDC) - CEU Babylab,Ágnes Melinda Ková­cs,Maja Blesić,https://cdc.ceu.edu/,MB3
cecBYU,Brigham Young University,United States,Center for Emotion and Cognition,Peter J. Reschke,,https://peterreschke.wixsite.com/byucec,"MB2,MB4"
cfnUofN,"""University of Newcastle, Australia""",Australia,FINDLab (?),Linda E. Campbell,Alix Woolard,,MB1
cheikhAntaDiop,Cheikh Anta Diop University,Senegal,,"Barry Oumar,Yatma Diop",,,MB1-Africa
childdevlabAshoka,Ashoka University,India,Child Development Lab,Madhavilatha Maganti,Paridhi Verma,,"MB2,MB5"
childlabManchester,University of Manchester,England,Child Study Centre,Anna Theakston,"Alissa Ferry,Iain Jackson",https://sites.manchester.ac.uk/child-study-centre/,MB1
childstudiesUCSB,"""University of California, Santa Barbara""",United States,Child Studies Lab,Zoe Liberman,Bailey Immel,https://liberman.psych.ucsb.edu/,MB4
chosunbaby,Chosun University,South Korea,Chosun Child Language Lab,Eon-Suk Ko,Seongmin Mun,https://www.chosunbabylab.com/,"MB1,MB1L,MB-ManyWebcams"
cipualLisbon,Universidade Autónoma de Lisboa,Portugal,CIP-UAL - Psychology Research Centre,Mónica Taveira Pires,,https://cip.autonoma.pt/en_gb/,MB5
cloudlabUSC,University of South Carolina,United States,Child Language Outcomes and Disorders Lab,Erin Smolak,,https://erinsmolak.wixsite.com/cloudlab,MB5
cogcienmatUnivalle,Universidad del Valle,Colombia,Cognición Científica y Matemática,Yenny Otálora,,,MB4
CogConcordia,Concordia University,Canada,Cognitive and Language Development Laboratory,Diane Poulin-Dubois,Anna-Elisabeth Baumann,https://www.concordia.ca/artsci/psychology/research/cognitive-language-development-lab.html,MB2
cogdeveduhk,The Education University of Hong Kong,Hong Kong,Cognitive Development Laboratory,Tik-Sze Carrey Siu,,,MB3
cogdevlabBYU,Brigham Young University,United States,CogDevLab at BYU,Rebecca A. Lundwall,,https://cogdevelopment.byu.edu/,MB1
cogdevlabHKU,The University of Hong Kong,Hong Kong,Cognitive Development Laboratory,Terry Tin Yau Wong,Chiu Kin Adrian Tsang,https://hkupsycdlab.wixsite.com/cogdevlab,MB4
cogscilabUDD,Universidad del Desarrollo,Chile,Cognitive Science Lab UDD,Gabriel Reyes,Fernanda Prieto,https://cognitivescience.udd.cl/el-laboratorio/,MB3
collabUIOWA,University of Iowa,United States,"Communication, Cognition, and Learning Lab ",Susan Wagner Cook,John Zbaracki,,MB2
CorbitLab,St. Francis Xavier University,Canada,Corbit Lab,John Corbit,,,"MB2,MB4"
CrafaLab,Aarhus University,Denmark,CrafaLab,Daina Crafa,,https://crafalab.com/,MB3-NIRS
cutelabUNAK,University of Akureyri,Iceland,Cute Lab,Hilal H. Şen,,https://thecutelab.com/,MB4
dacJaveriana,Pontificia Universidad Javeriana,Colombia,"Desarrollo, Afectividad y Cognición",Hernando Taborda-Osorio,,,MB4
dcnlabTennessee,"""University of Tennessee, Knoxville""",United States,Developmental Cognitive Neuroscience Lab,Greg D. Reynolds,,http://dcnlab.utk.edu/,MB1
ddlabUEA,University of East Anglia,England,Developmental Dynamics Lab,"Nadja Althaus,Teodora Gliga,Larissa Samuelson",,https://ddlabs.uea.ac.uk/,MB3
denUIOWA,University of Iowa,United States,"Development, Experience, and Neurocognition Lab",Ece Demir-Lira,Paige Nelson,https://demir-lira.lab.uiowa.edu/,MB3-NIRS
devdynlabGeorgia,University of Georgia,United States,Developmental Dynamics Lab,Drew Abney,,https://www.devdynlab.us/,MB3-NIRS
DevlabAU,Aarhus University,Denmark,Developmental Cognitive Science Research Unit,"Peter Krøjgaard,Osman S. Kingo,Trine Sonne",,,"MB2,MB5"
DevLabMTA,The Academic College of Tel Aviv-Yaffo,Israel,MTA Developmental Lab,"Ronit Roth-Hanania,Daphna Ginio Dollberg","Inbal Marcu,Adi Hayden,Niran Klein,Michal Dvir Koren",,"MB4,MB4I"
DurhamBabylab,Durham University,England,Durham Babylab,Samuel Forbes,,,"MB3,MB-AtHome"
dutchbabylabs (NEED TO UPDATE),"Radboud University,Leiden University,Utrecht University","The Netherlands,The Netherlands,The Netherlands",Dutch babylabs,"Paula Fikkert,Laura E. Hahn,Claartje Levelt,Caroline Junge",,,MB1N
earlysocogFM,Franklin & Marshall College,United States,Early Social Cognition Lab,Lauren H. Howard,,https://www.dax.fandm.edu/early-social-cognition,MB1
ecclMIT,Massachusetts Institute of Technology,United States,Early Childhood Cognition Lab,Laura Schulz,Shengyi Wu,https://eccl.mit.edu/,MB2
ellaAuckland,University of Auckland,New Zealand,Early Learning Lab (ELLA),Annette M. E. Henderson,,https://www.earlylearning.ac.nz/,"MB4,MB5"
elpGeorgetown,Georgetown University,United States,Early Learning Project,Rachel Barr,Joscelin Rocha-Hidalgo,https://elp.georgetown.edu/,MB1G
emlASU,Arizona State University,United States,Emerging Minds Lab,Kelsey Lucca,,https://www.emergingmindslab.org/,"MB3,MB4"
ENIG,Technion,Israel,Educational Neuroimaging Group,Tzipi Horowitz-Kraus,,,
epsyRUB,Ruhr University Bochum,Germany,Developmental Psychology,Sabine Seehagen,Anna Exner,https://www.epsy.psy.ruhr-uni-bochum.de/,"MB3,MB4,MB-AtHome"
escompicbsLeipzig,Max Planck Institute for Human Cognitive and Brain Sciences,Germany,NA,Christine Michel,,,MB1
ethosRennes,"Université de Rennes 1,CNRS","France,France",Ethologie Animale et Humaine,Virginie Durier,Stéphanie Barbu,https://ethos.univ-rennes.fr/en,"MB1,MB1N"
FAUWAVESLAB,Florida Atlantic University,United States,WAVES Lab,Nancy Aaron Jones,Angela Bernardo,https://psy.fau.edu/waveslab/index.php,
gaugGöttingen,University of Göttingen,Germany,Göttinger Kindsköpfe Lab,Hannes Rakoczy,"Isa Garbisch,Marina Proft",https://www.psych.uni-goettingen.de/de/development/goettinger-kindskoepfe,"MB2,MB4,MB-ManyWebcams"
gertlabLancaster,Lancaster University,England,Lancaster Babylab: Developmental Cognitive Science lab,Gert Westermann,"Elena C. Altmann,Xiaoyun Chen",https://wp.lancs.ac.uk/westermann-lab/,"MB2,MB3,MB4,MB5"
goldsmiths,"""Goldsmiths, University of London""",England,Goldsmiths InfantLab,Caspar Addyman,,https://sites.gold.ac.uk/infantlab/,
icclBC,Boston College,United States,Infant and Child Cognition Lab,Sara Cordes,Sophie Savelkouls,https://sites.bc.edu/sara-cordes/infant-and-child-cognition-lab-at-boston-college/,MB1
ikidsUTSC,University of Toronto Scarborough,Canada,iKids Centre,"Laura K. Cirelli,Yang Wu",Tiffany Doan,https://www.facebook.com/UTSCiKids/,MB4
ILBCDLAB,University of Illinois at Urbana-Champaign,United States,Brain and Cognitive Development Lab,Daniel C. Hyde,,http://publish.illinois.edu/danielchyde/,"MB2,MB3-NIRS"
ileap,Virginia Tech,United States,iLEAP Lab,Robin Panneton,,https://www.ileap-lab.com/,MB1
incheslabUCI,"""University of California, Irvine""",United States,UCI INCHES Lab,Angela Lukowski,"Maya Brown-Hughston,Caleb Schlaupitz",https://alukowsk.wixsite.com/alukowsk,MB2
inchGothenburg,University of Gothenburg,Sweden,University of Gothenburg,Karin Strid,,https://www.gu.se/en/psychology/the-infant-and-child-laboratory,MB-ManyWebcams
infantcoglabLouisville,University of Louisville,United States,UofL Infant Cognition Lab,Cara Cashon,Nonah M. Olesen,https://louisville.edu/psychology/cashon/lab,"MB1,MB1L"
infantcogUBC,University of British Columbia,Canada,UBC Centre for Infant Cognition,J. Kiley Hamlin,"Francis L. Yuen,Rachelle Graham",https://cic.psych.ubc.ca/,"MB1,MB1B,MB1L,MB3,MB4"
infantlanglabUTK,"""University of Tennessee, Knoxville""",United States,Infant Language and Perceptual Learning Lab,Jessica F. Hay,"Rebecca Bauer,Daniela Santos Oliveira ",https://infantlanguagelab.utk.edu/,"MB1,MB1G,MB1L,MB-ManyWebcams"
infantllMadison,University of Wisconsin–Madison,United States,UW-Madison Infant Learning Lab,Jenny Saffran,Martin Zettersten,https://infantlearning.waisman.wisc.edu/,"MB1,MB1T"
infantstudiesUBC,University of British Columbia,Canada,UBC Infant Studies Centre,Janet F. Werker,Alexis K. Black,https://infantstudies.psych.ubc.ca/,"MB1,MB1B,MB1L"
irlConcordia,Concordia University,Canada,Concordia Infant Research Lab,Krista Byers-Heinlein,"Nicolás Alessandroni,Rachel Ka-Ying Tsui,Alexandra Laoun-Rubenstein,Hilary Killam,Meghan Mastroberardino,Madison Williams",http://infantresearch.ca/,"MB1,MB1B,MB1G,MB3"
islNotredame,University of Notre Dame,United States,Infant Studies Lab,Jill Lany,Abbie Thompson,,MB1
isplabMcgill,McGill University,Canada,McGill Infant Speech Perception Lab,Linda Polka,,https://www.polka.lab.mcgill.ca/,"MB1,MB1B"
jmuCDL,James Madison University,United States,Cognitive Development Lab,Krisztina V. Jakobsen,,https://sites.lib.jmu.edu/cogdevlab/,MB1
kidsdevUniofNewcastle,"""University of Newcastle, Australia""",Australia,Kids' Development Research,Emma Axelsson,Alyssa Robson,,MB2
kidslabTrier,Universität Trier,Germany,PhoneticsLab-Kids Trier,Katharina Zahner-Ritter,,,MB5
kikoCEU,Central European University (Budapest),Hungary,kikoCEU,Gergely Csibra,Denis Tatone,https://www.cognitive-development.ceu.edu/,MB4
kokuHamburg,Universität Hamburg,Germany,KOKU Research Center for Cognitive and Cultural Development,Ulf Liszkowski,Marianna Jarto,https://www.koku.uni-hamburg.de/en.html,"MB1,MB1G"
kyotobabylab,Kyoto University,Japan,Kyoto Baby Lab,Yusuke Moriguchi,,https://sites.google.com/site/childlabeng/,MB1
L19LUMSAPALAB,LUMSA (Libera Università degli Studi Maria Ss. Assunta di Roma),Italy,LABL19PALUMSA,"Lidia Scifo,Umberto Di Maggio,Calogero Caltagirone",,,"MB1N,MB2,MB3,MB3-NIRS,MB4,MB5"
LabOxford,,,,,,,
labUNAM,Universidad Nacional Autónoma de México,México,Psycholinguistics,Natalia Arias-Trejo,,,"MB1,MB-ManyWebcams"
lalaVU,Valparaiso University,United States,Learning and Language Acquisition Lab,Abbie Thompson,,,MB3
LALunipd,Università degli Studi di Padova,Italy,Language Acquisition Lab UniPd,Judit Gervain,,,MB3
lancaster,Lancaster University,England,Lancaster Babylab,Katherine J. Alcock,Katie Twomey,https://wp.lancs.ac.uk/babylab/,"MB1,MB1T"
langdevHaifa,University of Haifa,Israel,Language and Development Lab,Naomi Havron,Einat Melusian,https://sites.google.com/hevra.haifa.ac.il/thelanguagedevelopmentlab/home?authuser=2,"MB2,MB3,MB4,MB5,MB-ManyWebcams,MB-AtHome"
langdevUBC,University of British Columbia,Canada,Language and Development Lab,Alexis K. Black,Martin Oberg,https://languageanddevelopment.ca/,MB5
langlabUCLA,"""University of California, Los Angeles""",United States,Language Acquisition Lab,Megha Sundara,Victoria Mateu,https://languagelab.humanities.ucla.edu/en/,"MB1,MB1B"
lcdFSU,Florida State University,United States,LCD,Arielle Borovsky,,,MB1
lcduLeeds,University of Leeds,England,Leeds Child Development Unit,Catherine Davies,Lauren C. Machon,https://leedscdu.org/,"MB1,MB1L"
ldlOttawa,University of Ottawa,Canada,Language Development Laboratory,Christopher Fennell,,https://socialsciences.uottawa.ca/ldl/,"MB1,MB1B"
lidlWaterloo,University of Waterloo,Canada,Lab for Infant Development and Language,Katherine White,,https://uwaterloo.ca/lab-infant-development-language/,MB5
LiLabEdUHK,The Education University of Hong Kong,Hong Kong,Li Lab,Annie Yixun Li,Kaiyue Jia,,MB2
littlelabSC,Smith College,United States,Little Lab,Brianna McMillan,,https://www.science.smith.edu/littlelab/,MB5
llamaPurdue,Purdue University,United States,Language Learning and Meaning Acquisition Lab,Arielle Borovsky,,https://www.purdue.edu/hhs/slhs/llamalab/,
lllLiv,University of Liverpool,England,Liverpool Language Lab,Samantha Durrant,Claire Noble,https://www.language05.co.uk/,"MB1,MB1B,MB1G,MB1L"
lmuMunich,Ludwig-Maximilians-Universität München,Germany,NA,Tobias Schuwerk,"Lucie Zimmer,Adrian Steffan",,"MB2,MB4,MB4I,MB-ManyWebcams"
lppParisDescartes2,Université Paris Cité,France,BabyLab LPP (?),Judit Gervain,Caterina Marino,https://baby.biomedicale.parisdescartes.fr/en,"MB1,MB1B"
lscpPSL,"Ecole Normale Supérieure,Université PSL,CNRS,EHESS","France,France,France,France",,"Alejandrina Cristia,Sharon Peperkamp","Naomi Havron,Anne-Caroline Fiévet",https://lscp.dec.ens.fr/en/research/teams-lscp/language-acquisition-across-cultures,"MB1,MB1B,MB1L,MB5"
lulluLancaster,Lancaster University,England,Lancaster University Language and Literacy Unit (LULLU),Kate Cain,Laura Diprossimo,http://wp.lancs.ac.uk/language-literacy/,MB3-NIRS
MaCunipd,Università degli Studi di Padova,Italy,Babylab UNIPD,"Silvia Benavides-Varela,Judit Gervain",,https://lilia.dpss.psy.unipd.it/babylab/,"MB5,MB-AtHome"
madlabUCSD,"""University of California, San Diego""",United States,Mind and Development Lab,Adena Schachner,Michelle Lee,https://madlab.ucsd.edu/,MB1
makerere,Makerere University,Uganda,,Simon Kizito,,,MB1-Africa
malawiCC,University of Malawi–Chancellor College,Malawi,,Limbika Maliwichi-Senganimalunje,Tilinao Lamba,,MB1-Africa
marinalabLancaster,Lancaster University,England,Lancaster Active Learning Lab,Marina Bazhydai,,https://wp.lancs.ac.uk/all/,MB4
maseno,Maseno University,Kenya,,"Catherine V. Mbagaya,Paul Odhiambo Oburu",,,MB1-Africa
mecdmpihcbs,Max Planck Institute for Human Cognitive and Brain Sciences,Germany,Milestones of Early Cognitive Development,Charlotte Grosse Wiesmann,Katrin Rothmaler,https://www.cbs.mpg.de/independent-research-groups/early-cognitive-development,MB-ManyWebcams
MedeaBabylab,IRCCS Eugenio Medea - Lombardia,Italy,Medea Babylab,"Chiara Cantiani,Valentina Riva",,https://emedea.it/medea/en/research/topics/babylab-laboratory-for-early-detection-of-infants-at-high-risk-for-language-and-learning-impairment-and-autism-spectrum-disorders,MB3-NIRS
MEyeLab,University of Mannheim,Germany,Mannheim Eye Lab,Nicole Altvater-Mackensen,Verena Schuhmann,https://www.phil.uni-mannheim.de/en/department-of-english/sub-depts/anglistik-i/research/ma-eye-lab-a-i/,MB2
minddevlabBicocca,Università degli Studi di Milano-Bicocca,Italy,Child & Baby Lab,Viola Macchi Cassia,"Stefania Conte,Roberta Bettoni",https://bicoccababylab.wixsite.com/mindevlab/en/home-eng,MB1
MiniDundee,University of Dundee,Scotland,Mini me lab ,Josephine Ross,Elisabeth E. F. Bradford,https://blog.dundee.ac.uk/minimelab/,MB2
mpievaCCP,Max Planck Institute for Evolutionary Anthropology,Germany,Comparative Cultural Psychology,,Manuel Bohn,,MB-ManyWebcams
musdevUTM,University of Toronto Mississauga,Canada,,Sandra E. Trehub,Laura K. Cirelli,,MB1
ndplFAU,Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,"Neurocognitive Developmental Psychology Lab, FAU",Louisa Kulke,,https://neurodevpsychology.phil.fau.de/,MB-ManyWebcams
NOLALab,University of Potsdam,Germany,Neurocognition of Language Lab,Isabell Wartenburger,Mireia Marimon,https://www.uni-potsdam.de/en/nola/index,MB3-NIRS
nusinfantlanguagecentre,National University of Singapore,Singapore,Infant and Child Language Centre,Leher Singh,,https://blog.nus.edu.sg/babytalk/,"MB1,MB1B,MB1G"
nyulearn,New York University,United States,NYU LEARN Lab,Sudha Arunachalam,Abigail Eveleigh,https://wp.nyu.edu/learnlab/,MB3
palCambridge,University of Cambridge,England,Prediction and Learning Lab,Rebecca Lawson,"Eleanor S. Smith,Addison Billing,Levente Baljer",https://www.lawsonlab.co.uk/,"MB2,MB-ManyWebcams"
PKUSu,Peking University,China,Developmental and Comparative Psychology Lab,Yanjie Su,"Yiyi Wang,Yanwei Wang,Jiaxuan Zhao",https://www.phylopsy.org/institution/laboratory-of-developmental-and-comparative-psychology,MB4
pocdNorthwestern,Northwestern University,United States,Infant and Child Development Center,Sandra Waxman,Brooke Sprague,https://childdevelopment.northwestern.edu/,MB1
potsdam,University of Potsdam,Germany,,Natalie Boll-Avetisyan,Paul Okyere Omane,https://www.uni-potsdam.de/en/ling/researchgroups/developmental-psycholinguistics,MB1-Africa
purdueinfantspeech,Purdue University,United States,Purdue Infant Speech Lab,Amanda Seidl,,http://www2.psych.purdue.edu/~;babylab/speech/speechhome.html?_ga=2.211365525.1043924440.1696351300-643169717.1696351300,"MB1,MB1L"
RLTHBICCC,Tsinghua University,China,Child Cognition Center,Stella Christie,Qiuchen Ma,https://www.tsinghuakidlab.com/en/,MB3
rohoBabylab,"""Royal Holloway, University of London""",England,Royal Holloway Baby Lab,Jeanne L. Shinskey,,http://www.pc.rhul.ac.uk/sites/babylabnew/,MB3
saxelab,Massachusetts Institute of Technology,United States,Saxelab,Rebecca Saxe,"Gal Raz,Emily Chen",https://saxelab.mit.edu/,"MB5,MB-AtHome,MB2"
SkidLSDLab,Skidmore College,United States,Skidmore Language and Social Development Lab,Jessica Sullivan,,https://www.skidmore.edu/developing_minds_center/index.php,MB2
SMHSU,Sefako Makgatho Health Sciences University,South Africa,,Mikateko Ndhambi,,,MB1-Africa
socallabUCSD,"""University of California, San Diego""",United States,Social Cognition and Learning Lab,Lindsey J. Powell,"Meg Pierce,Alexis Smith-Flores,Bill Pepe,Lauren Smith",https://socallab.ucsd.edu/,"MB2,MB3-NIRS,MB5"
socialcogUmiami,University of Miami,United States,Social Cognition Lab,Elizabeth A. Simpson,,https://scl.psy.miami.edu/,"MB1,MB-ManyWebcams,MB6"
sociocognitivelab,"University of Oslo,MultiLing","Norway,Norway",Socio-cognitive lab,Natalia Kartushina,"Audun Rosslund,Silje Robberstad",https://www.hf.uio.no/multiling/english/topics/lab/index.html,"MB2,MB3"
speakinlab,"Czech Academy of Sciences,Charles University","Czechia,Czechia",speakinlab,"Kateřina Chládková,Filip Smolík,Martina Dvorakova","Zuzana Ocelakova,Nikola Paillereau",http://speakinlab.cz/,"MB1N,MB3"
StockholmBL,Stockholm University,Sweden,Stockholm Babylab,Ellen Marklund,"Iris-Corinna Schwarz,Lisa Gustavsson",https://www.su.se/english/research/research-groups/stockholm-babylab,MB3
